event_cause,police_station,latitude,longitude,severity,officers_needed,requires_road_closure,on_corridor
construction,Adugodi,12.9276664,77.6209852,0.6463785488958992,3,False,1
vehicle_breakdown,Sadashivanagar,13.0180751,77.5835767,0.4282334384858044,3,False,1
vehicle_breakdown,Electronic City,12.8416294,77.6448425,0.15560883280757098,1,False,0
vehicle_breakdown,Halasuru Gate,12.9630808,77.5850315,0.7089716088328075,7,True,1
vehicle_breakdown,Adugodi,12.943635,77.6077578,0.5478044164037855,3,False,1
construction,Kamakshipalya,12.9839509,77.5286651,0.9784479495268139,7,True,1
construction,Chamarajpet,12.96396195,77.56960303,0.80802523659306,7,True,1
pot_holes,Hulimavu,12.8734856,77.6249806,0.007924290220820189,1,False,0
others,HAL Old Airport,12.9360849,77.7056496,0.37244164037854893,2,False,0
construction,Ashok Nagar,12.9584994,77.6017538,0.7299495268138801,6,True,0
others,Sheshadripuram,12.9853267,77.5745933,0.7474132492113564,6,True,0
construction,Kodigehalli,13.0366434,77.5746848,0.20181703470031548,1,False,0
public_event,Kengeri,12.92125487,77.49435972,0.7120504731861199,7,True,1
pot_holes,Madiwala,12.9272868,77.6212291,0.25924921135646684,2,False,1
vehicle_breakdown,Chamarajpet,12.9727963,77.5692798,0.03992429022082019,1,False,0
vehicle_breakdown,Hennuru,13.064047,77.6506642,0.2035583596214511,1,False,0
pot_holes,Cubbon Park,12.9834253,77.5950206,0.6463785488958992,3,False,1
accident,Hebbala,13.0434302,77.6083468,0.43085804416403783,3,False,1
pot_holes,Madiwala,12.9222922,77.619623,0.26535646687697156,2,False,1
vehicle_breakdown,Hebbala,13.0436361,77.6023637,0.39047949526813874,3,False,1
pot_holes,Shivajinagar,12.9874903,77.6037887,0.06087066246056783,1,False,0
vehicle_breakdown,R.T. Nagar,13.0145783,77.5850567,0.9207570977917982,7,True,1
vehicle_breakdown,J.P. Nagar,12.8973434,77.5999214,0.5224164037854889,3,False,1
vehicle_breakdown,Kamakshipalya,12.987838,77.5130677,0.5295835962145111,3,False,1
pot_holes,Hulimavu,12.8830905,77.6100616,0.07545741324921136,1,False,0
water_logging,J.P. Nagar,12.9050197,77.6015751,0.26525552050473183,2,False,1
vehicle_breakdown,Magadi Road,12.9760128,77.5645174,0.3112870662460568,2,False,1
vehicle_breakdown,Chikkajala,13.1125086,77.6344939,0.4794637223974763,3,False,1
vehicle_breakdown,Kodigehalli,13.0537555,77.5931842,0.4432239747634069,3,False,1
pot_holes,Madiwala,12.9255812,77.6174261,0.6463785488958992,3,False,1
water_logging,Sadashivanagar,12.9987856,77.5839664,0.6254321766561515,3,False,1
vehicle_breakdown,Wilson Garden,12.95658312,77.59249002,0.7474132492113564,6,True,0
vehicle_breakdown,Pulikeshinagar(F.Town),12.9922698,77.6102106,0.32166561514195585,1,False,0
vehicle_breakdown,High ground,12.9901791,77.5929688,0.0848454258675079,1,False,0
public_event,Yeshwanthpura,13.02668698,77.53509982,0.20181703470031548,1,False,0
vehicle_breakdown,Byatarayanapura,12.9407201,77.5247945,0.4805236593059936,3,False,1
others,Banaswadi,13.0198686,77.6528368,0.3783154574132492,3,False,1
construction,HAL Old Airport,12.9695275,77.7009274,0.6130157728706626,3,False,1
vehicle_breakdown,J.P. Nagar,12.9060449,77.5857343,0.34576025236593055,3,False,1
vehicle_breakdown,Wilson Garden,12.9451182,77.5970652,0.29900315457413246,1,False,0
